              0 :: 0                    :: 1.5e-06
              1 :: 1                    :: 7e-07
              2 :: 1                    :: 1.9e-06
              3 :: 2                    :: 5.3e-06
              4 :: 3                    :: 5.2e-06
              5 :: 5                    :: 7.2e-06
              6 :: 8                    :: 1.03e-05
              7 :: 13                   :: 1.47e-05
              8 :: 21                   :: 2.26e-05
              9 :: 34                   :: 2.4e-05
             10 :: 55                   :: 4.46e-05
             11 :: 89                   :: 5.06e-05
             12 :: 144                  :: 9.19e-05
             13 :: 233                  :: 0.0002345
             14 :: 377                  :: 0.0002871
             15 :: 610                  :: 0.0005163
             16 :: 987                  :: 0.0008417
             17 :: 1597                 :: 0.0010881
             18 :: 2584                 :: 0.0015357
             19 :: 4181                 :: 0.0020436
             20 :: 6765                 :: 0.0034757
             21 :: 10946                :: 0.0073371
             22 :: 17711                :: 0.01234
             23 :: 28657                :: 0.014663
             24 :: 46368                :: 0.024666
             25 :: 75025                :: 0.038848
             26 :: 121393               :: 0.060473
             27 :: 196418               :: 0.10683
             28 :: 317811               :: 0.16481
             29 :: 514229               :: 0.26137
             30 :: 832040               :: 0.41743
             31 :: 1346269              :: 0.68599
             32 :: 2178309              :: 1.1133
